Crossover point,Dimension,Brute Force (milisec),Strassen's (milisec)
150,1023x1023,6477,4742
151,1023x1023,6480,4772
152,1023x1023,6572,4783
153,1023x1023,6524,4760
154,1023x1023,6685,4880
155,1023x1023,6681,4891
156,1023x1023,6723,4912
157,1023x1023,6682,4868
158,1023x1023,6704,4861
159,1023x1023,6659,4846
160,1023x1023,6664,4847
161,1023x1023,6705,4879
162,1023x1023,6689,4897
163,1023x1023,6748,4889
164,1023x1023,6662,4879
165,1023x1023,6716,4893
166,1023x1023,6686,4892
167,1023x1023,6682,4894
168,1023x1023,6737,4889
169,1023x1023,6729,4884
170,1023x1023,6716,4930
171,1023x1023,6675,4891
172,1023x1023,6720,4888
173,1023x1023,6682,4892
174,1023x1023,6665,4881
175,1023x1023,6689,4888
176,1023x1023,6689,4894
177,1023x1023,6693,4891
178,1023x1023,6694,4892
179,1023x1023,6681,4848
180,1023x1023,6699,4884
181,1023x1023,6703,4879
182,1023x1023,6673,4872
183,1023x1023,6658,4856
184,1023x1023,6688,4885
185,1023x1023,6689,4887
186,1023x1023,6683,4889
187,1023x1023,6683,4894
188,1023x1023,6677,4885
189,1023x1023,6704,4887
190,1023x1023,6674,4885
191,1023x1023,6691,4878
192,1023x1023,6659,4869
193,1023x1023,6663,4867
194,1023x1023,6722,4880
195,1023x1023,6671,4863
196,1023x1023,6660,4862
197,1023x1023,6677,4859
198,1023x1023,6739,4865
199,1023x1023,6653,4849
