Crossover point,Dimension,Brute Force (milisec),Strassen's (milisec)
100,1024x1024,6578,4662
101,1024x1024,6499,4661
102,1024x1024,6621,4704
103,1024x1024,6536,4669
104,1024x1024,6587,4713
105,1024x1024,6560,4683
106,1024x1024,6546,4676
107,1024x1024,6800,4723
108,1024x1024,6550,4686
109,1024x1024,6525,4701
110,1024x1024,6619,4680
111,1024x1024,6574,4678
112,1024x1024,6573,4682
113,1024x1024,6582,4754
114,1024x1024,6574,4706
115,1024x1024,6622,4740
116,1024x1024,6675,4681
117,1024x1024,6594,4693
118,1024x1024,6580,4688
119,1024x1024,6539,4722
120,1024x1024,6642,4704
121,1024x1024,6555,4700
122,1024x1024,6597,4707
123,1024x1024,6634,4708
124,1024x1024,6607,4701
125,1024x1024,6641,4711
126,1024x1024,6660,4772
127,1024x1024,6626,4702
128,1024x1024,6594,4695
129,1024x1024,6599,4783
130,1024x1024,6602,4753
131,1024x1024,6551,4789
132,1024x1024,6599,4773
133,1024x1024,6550,4764
134,1024x1024,6572,4769
135,1024x1024,6649,4760
136,1024x1024,6524,4775
137,1024x1024,6611,4765
138,1024x1024,6610,4780
139,1024x1024,6593,4778
140,1024x1024,6625,4765
141,1024x1024,6593,4787
142,1024x1024,6662,4772
143,1024x1024,6631,4783
144,1024x1024,6636,4775
145,1024x1024,6613,4769
146,1024x1024,6661,4758
147,1024x1024,6605,4770
148,1024x1024,6623,4764
149,1024x1024,6558,4752
