Crossover point,Dimension,Brute Force (milisec),Strassen's (milisec)
300,1024x1024,6652,5574
301,1024x1024,6571,5738
302,1024x1024,6676,5515
303,1024x1024,6583,5524
304,1024x1024,6606,5558
305,1024x1024,6680,5582
306,1024x1024,6647,5568
307,1024x1024,6573,5528
308,1024x1024,6561,5527
309,1024x1024,6550,5541
310,1024x1024,6581,5574
311,1024x1024,6674,5534
312,1024x1024,6644,5527
313,1024x1024,6648,5534
314,1024x1024,6656,5614
315,1024x1024,6607,5448
316,1024x1024,6551,5508
317,1024x1024,6611,5584
318,1024x1024,6566,5537
319,1024x1024,6568,5507
320,1024x1024,6560,5536
321,1024x1024,6547,5516
322,1024x1024,6617,5534
323,1024x1024,6571,5529
324,1024x1024,6570,5551
325,1024x1024,6593,5536
326,1024x1024,7021,5720
327,1024x1024,6632,5554
328,1024x1024,6632,5532
329,1024x1024,6598,5515
330,1024x1024,6644,5575
331,1024x1024,6654,5561
332,1024x1024,6705,5494
333,1024x1024,6551,5471
334,1024x1024,6566,5571
335,1024x1024,6606,5604
336,1024x1024,6661,5538
337,1024x1024,6663,5591
338,1024x1024,6562,5549
339,1024x1024,6545,5505
340,1024x1024,6601,5521
341,1024x1024,6573,5551
342,1024x1024,6578,5508
343,1024x1024,6563,5529
344,1024x1024,6582,5534
345,1024x1024,6574,5501
346,1024x1024,6559,5479
347,1024x1024,6604,5506
348,1024x1024,6564,5485
349,1024x1024,6551,5492
