Crossover point,Dimension,Brute Force (milisec),Strassen's (milisec)
150,1025x1025,7186,5036
151,1025x1025,7147,5047
152,1025x1025,7439,5173
153,1025x1025,7202,5023
154,1025x1025,7239,5109
155,1025x1025,7011,5023
156,1025x1025,7031,5222
157,1025x1025,7281,5081
158,1025x1025,7062,5034
159,1025x1025,7067,5029
160,1025x1025,6993,5028
161,1025x1025,7034,5281
162,1025x1025,7264,5096
163,1025x1025,7383,5088
164,1025x1025,7327,5056
165,1025x1025,7452,5239
166,1025x1025,7774,5155
167,1025x1025,7203,5226
168,1025x1025,7349,5111
169,1025x1025,7073,5053
170,1025x1025,7174,5086
171,1025x1025,7596,5476
172,1025x1025,7554,5209
173,1025x1025,7125,5171
174,1025x1025,8174,5873
175,1025x1025,8542,5991
176,1025x1025,8503,5794
177,1025x1025,8496,6100
178,1025x1025,8417,5918
179,1025x1025,7946,6743
180,1025x1025,8686,5929
181,1025x1025,8608,5795
182,1025x1025,8225,5147
183,1025x1025,7075,4988
