Crossover point,Dimension,Brute Force (milisec),Strassen's (milisec)
5,1025x1025,6913,169276
6,1025x1025,6794,45986
7,1025x1025,6807,46012
8,1025x1025,6786,46019
9,1025x1025,6788,45963
10,1025x1025,6765,17378
11,1025x1025,6775,17435
12,1025x1025,6887,17415
13,1025x1025,6854,17410
14,1025x1025,328077,18034
15,1025x1025,6777,17352
16,1025x1025,6895,17337
17,1025x1025,6900,17378
18,1025x1025,6820,8660
19,1025x1025,6767,8651
20,1025x1025,6761,8652
21,1025x1025,6760,8657
22,1025x1025,6765,8657
23,1025x1025,6753,8659
24,1025x1025,6755,8656
25,1025x1025,6766,8653
26,1025x1025,6758,8652
27,1025x1025,6762,8651
28,1025x1025,6769,8650
29,1025x1025,6754,8653
30,1025x1025,6763,8649
31,1025x1025,6778,8652
32,1025x1025,6779,8652
33,1025x1025,6803,8665
34,1025x1025,6786,5890
35,1025x1025,6785,5885
36,1025x1025,6783,5889
37,1025x1025,6796,5890
38,1025x1025,6868,5923
39,1025x1025,27727,5958
40,1025x1025,8367,5902
41,1025x1025,6796,5889
42,1025x1025,6793,5882
43,1025x1025,22759,7444
44,1025x1025,6780,5893
45,1025x1025,6792,5894
46,1025x1025,6801,968466
47,1025x1025,6884,5919
48,1025x1025,6880,5920
49,1025x1025,6958,5907
50,1025x1025,6872,157405
51,1025x1025,6810,5883
52,1025x1025,6789,5886
53,1025x1025,6783,5882
54,1025x1025,6817,962122
55,1025x1025,6786,5875
56,1025x1025,6799,5890
57,1025x1025,6801,5888
58,1025x1025,963450,5900
59,1025x1025,6978,5884
60,1025x1025,6915,5886
61,1025x1025,6902,5932
62,1025x1025,6799,5872
63,1025x1025,6784,5882
64,1025x1025,6782,5877
65,1025x1025,6802,75244
66,1025x1025,6760,5018
67,1025x1025,6776,5026
68,1025x1025,6765,5018
69,1025x1025,6794,1052979
70,1025x1025,6767,5015
71,1025x1025,6765,5010
72,1025x1025,6786,5027
73,1025x1025,6759,5015
74,1025x1025,6756,5016
75,1025x1025,6779,5011
76,1025x1025,6763,5011
77,1025x1025,6774,5016
78,1025x1025,6766,5009
79,1025x1025,6761,5016
80,1025x1025,6756,5016
81,1025x1025,6760,5024
82,1025x1025,6766,5088
83,1025x1025,6970,5019
84,1025x1025,6766,5048
85,1025x1025,6808,5018
86,1025x1025,7211,5014
87,1025x1025,6754,5011
88,1025x1025,6772,5762
89,1025x1025,7207,5372
90,1025x1025,7549,5413
91,1025x1025,7585,5591
92,1025x1025,7149,5257
93,1025x1025,7546,5429
94,1025x1025,7327,5789
95,1025x1025,7667,5503
96,1025x1025,7678,5780
97,1025x1025,7875,5809
98,1025x1025,7778,5756
99,1025x1025,7674,5489
100,1025x1025,7625,5780
101,1025x1025,7231,5782
102,1025x1025,7544,5704
103,1025x1025,8060,5905
104,1025x1025,7914,5572
105,1025x1025,7521,5376
106,1025x1025,7976,5722
107,1025x1025,8115,5966
108,1025x1025,8049,5920
109,1025x1025,8085,5761
110,1025x1025,7356,5674
111,1025x1025,8266,6047
112,1025x1025,7702,5610
113,1025x1025,8069,6238
114,1025x1025,7615,5739
115,1025x1025,8308,6016
116,1025x1025,8834,5701
117,1025x1025,8031,5894
118,1025x1025,8310,6350
119,1025x1025,8178,5665
120,1025x1025,8538,5980
121,1025x1025,8362,5714
122,1025x1025,8523,6264
123,1025x1025,8426,6175
124,1025x1025,8216,5885
125,1025x1025,8251,6158
126,1025x1025,8328,6179
127,1025x1025,7563,6002
128,1025x1025,8243,6277
129,1025x1025,8501,5995
130,1025x1025,8255,5587
131,1025x1025,8146,5557
132,1025x1025,8523,6111
133,1025x1025,8437,5863
134,1025x1025,8460,6114
135,1025x1025,8387,5726
136,1025x1025,7843,5568
137,1025x1025,8085,5531
138,1025x1025,7742,5889
139,1025x1025,8044,6128
140,1025x1025,8328,5749
141,1025x1025,8050,6098
142,1025x1025,8117,6055
143,1025x1025,8350,6215
144,1025x1025,8169,6070
145,1025x1025,8270,6189
146,1025x1025,7980,6095
147,1025x1025,8440,6129
148,1025x1025,8053,5978
149,1025x1025,8039,5819
150,1025x1025,8401,5890
151,1025x1025,1044598,4923
152,1025x1025,6773,4912
153,1025x1025,6759,4916
154,1025x1025,6775,4911
155,1025x1025,6774,4923
156,1025x1025,955733,4943
157,1025x1025,6770,4916
158,1025x1025,6770,4925
159,1025x1025,6787,4915
160,1025x1025,1036028,4995
161,1025x1025,6963,4945
162,1025x1025,6771,4922
163,1025x1025,6764,4912
164,1025x1025,1039027,4938
165,1025x1025,6764,4915
166,1025x1025,6771,4910
167,1025x1025,6779,4915
168,1025x1025,984078,5037
169,1025x1025,6893,4923
170,1025x1025,6756,4988
171,1025x1025,6779,4910
172,1025x1025,6762,4917
173,1025x1025,6766,4916
174,1025x1025,6761,4924
175,1025x1025,6771,910010
176,1025x1025,6777,4924
177,1025x1025,6770,4918
178,1025x1025,6763,4916
179,1025x1025,6763,935204
180,1025x1025,6758,4912
181,1025x1025,6759,4914
182,1025x1025,6812,4924
183,1025x1025,6771,4915
184,1025x1025,6758,4922
185,1025x1025,6762,4909
186,1025x1025,6757,4922
187,1025x1025,1000653,4922
188,1025x1025,6898,4914
189,1025x1025,6828,5029
190,1025x1025,6790,4915
191,1025x1025,1000099,4923
192,1025x1025,6758,4912
193,1025x1025,6759,4912
194,1025x1025,6754,4908
195,1025x1025,131495,4910
196,1025x1025,6764,4913
197,1025x1025,6764,4923
198,1025x1025,6769,4920
199,1025x1025,924709,4961
200,1025x1025,6918,5003
201,1025x1025,7052,5023
202,1025x1025,6983,4936
203,1025x1025,6828,4924
204,1025x1025,6815,4932
205,1025x1025,6853,4934
206,1025x1025,6844,4944
207,1025x1025,6847,4944
208,1025x1025,6842,4936
209,1025x1025,6839,4947
210,1025x1025,6831,4932
211,1025x1025,6862,4937
212,1025x1025,6826,4939
213,1025x1025,6826,4941
214,1025x1025,6899,4961
215,1025x1025,6889,4944
216,1025x1025,6884,4931
217,1025x1025,6839,949949
218,1025x1025,6908,4916
219,1025x1025,6775,4914
220,1025x1025,6765,4916
221,1025x1025,6754,4912
222,1025x1025,6763,4918
223,1025x1025,6765,4918
224,1025x1025,6771,4919
225,1025x1025,1009901,4938
226,1025x1025,6936,4936
227,1025x1025,6789,5023
228,1025x1025,6772,4918
229,1025x1025,700367,5570
230,1025x1025,6861,4915
231,1025x1025,6758,4925
232,1025x1025,6770,4913
233,1025x1025,6778,4910
234,1025x1025,6767,4914
235,1025x1025,6773,4909
236,1025x1025,6762,4925
237,1025x1025,6783,4914
238,1025x1025,6766,4928
239,1025x1025,7179,4920
240,1025x1025,6775,4914
241,1025x1025,6789,4910
242,1025x1025,6764,4922
243,1025x1025,6772,4916
244,1025x1025,6752,4918
245,1025x1025,6752,4922
246,1025x1025,6779,4915
247,1025x1025,6777,4907
248,1025x1025,6790,4923
249,1025x1025,6770,4913
250,1025x1025,6835,4917
251,1025x1025,6770,4914
252,1025x1025,6770,4919
253,1025x1025,6765,4919
254,1025x1025,6756,4913
255,1025x1025,6759,1047072
256,1025x1025,6815,4915
257,1025x1025,6767,4914
258,1025x1025,6776,5331
259,1025x1025,6779,708681
260,1025x1025,6811,5341
261,1025x1025,6850,5530
262,1025x1025,6864,5334
263,1025x1025,6788,5395
264,1025x1025,6791,5327
265,1025x1025,6780,1052744
266,1025x1025,6774,5328
267,1025x1025,6771,5331
268,1025x1025,6770,5326
269,1025x1025,951979,5428
270,1025x1025,6978,5361
271,1025x1025,6771,5332
272,1025x1025,6772,5328
273,1025x1025,48065,5337
274,1025x1025,6763,5331
275,1025x1025,6770,5330
276,1025x1025,6771,5328
277,1025x1025,993224,5341
278,1025x1025,6758,5329
279,1025x1025,6782,5328
280,1025x1025,6770,5331
281,1025x1025,917262,5403
282,1025x1025,6854,5337
283,1025x1025,6987,5332
284,1025x1025,6855,5358
285,1025x1025,6765,5326
286,1025x1025,151102,5324
287,1025x1025,6761,5331
288,1025x1025,6775,5337
289,1025x1025,6769,5331
290,1025x1025,694388,5330
291,1025x1025,6765,5332
292,1025x1025,6769,5327
293,1025x1025,6763,508979
294,1025x1025,6809,5329
295,1025x1025,6763,5330
296,1025x1025,6773,5328
297,1025x1025,6755,1080150
298,1025x1025,6760,5327
299,1025x1025,6759,5332
300,1025x1025,6782,5329
301,1025x1025,64454,5368
302,1025x1025,6767,5329
303,1025x1025,6790,5389
304,1025x1025,6825,5327
305,1025x1025,326811,6994
306,1025x1025,7451,5370
307,1025x1025,6769,5331
308,1025x1025,6779,5602
309,1025x1025,6843,5357
310,1025x1025,6980,5338
311,1025x1025,6972,5358
312,1025x1025,6816,5352
313,1025x1025,6980,5344
