Crossover point,Dimension,Brute Force (milisec),Strassen's (milisec)
1,2x2,0,0
2,4x4,0,0
3,6x6,0,0
4,8x8,0,0
5,10x10,0,0
6,12x12,0,0
7,14x14,0,0
8,16x16,0,0
9,18x18,0,0
10,20x20,0,0
11,22x22,0,0
12,24x24,0,0
13,26x26,0,0
14,28x28,0,0
15,30x30,0,0
16,32x32,0,0
17,34x34,0,1
18,36x36,0,1
19,38x38,1,1
20,40x40,0,1
21,42x42,1,1
22,44x44,1,1
23,46x46,1,1
24,48x48,1,1
25,50x50,1,1
26,52x52,1,1
27,54x54,1,2
28,56x56,1,2
29,58x58,1,2
30,60x60,2,2
31,62x62,2,2
32,64x64,2,2
33,66x66,2,2
34,68x68,2,2
35,70x70,2,2
36,72x72,2,2
37,74x74,2,2
38,76x76,2,3
39,78x78,2,3
40,80x80,3,3
41,82x82,3,3
42,84x84,3,3
43,86x86,3,3
44,88x88,4,4
45,90x90,4,4
46,92x92,4,4
47,94x94,4,5
48,96x96,5,5
49,98x98,5,5
50,100x100,5,6
51,102x102,6,6
52,104x104,6,6
53,106x106,7,7
54,108x108,7,7
55,110x110,7,7
56,112x112,8,8
57,114x114,8,8
58,116x116,9,9
59,118x118,9,9
60,120x120,10,10
61,122x122,10,10
62,124x124,11,11
63,126x126,11,11
64,128x128,12,12
65,130x130,12,12
66,132x132,13,13
67,134x134,14,13
68,136x136,14,14
69,138x138,15,15
70,140x140,16,15
71,142x142,16,16
72,144x144,17,17
73,146x146,18,17
74,148x148,19,18
75,150x150,19,20
76,152x152,29,30
77,154x154,22,20
78,156x156,22,21
79,158x158,24,22
80,160x160,24,23
81,162x162,25,23
82,164x164,25,24
83,166x166,27,26
84,168x168,28,26
85,170x170,28,27
86,172x172,30,29
87,174x174,31,30
88,176x176,33,31
89,178x178,33,32
90,180x180,34,32
91,182x182,35,33
92,184x184,36,34
93,186x186,38,36
94,188x188,39,37
95,190x190,40,45
96,192x192,43,39
97,194x194,43,40
98,196x196,44,42
99,198x198,46,43
100,200x200,51,56
