Crossover point,Dimension,Brute Force (milisec),Strassen's (milisec)
1,1x1,0,0
2,3x3,0,0
3,5x5,0,0
4,7x7,0,0
5,9x9,0,0
6,11x11,0,0
7,13x13,0,0
8,15x15,0,0
9,17x17,0,0
10,19x19,0,0
11,21x21,0,0
12,23x23,0,0
13,25x25,0,0
14,27x27,0,0
15,29x29,0,0
16,31x31,0,0
17,33x33,0,1
18,35x35,0,1
19,37x37,0,1
20,39x39,1,1
21,41x41,1,1
22,43x43,1,1
23,45x45,1,1
24,47x47,1,1
25,49x49,1,1
26,51x51,1,2
27,53x53,1,2
28,55x55,1,2
29,57x57,2,2
30,59x59,1,2
31,61x61,2,2
32,63x63,2,2
33,65x65,2,2
34,67x67,2,2
35,69x69,2,2
36,71x71,2,2
37,73x73,2,3
38,75x75,2,3
39,77x77,2,3
40,79x79,2,3
41,81x81,3,3
42,83x83,3,3
43,85x85,3,3
44,87x87,3,4
45,89x89,4,4
46,91x91,4,4
47,93x93,4,5
48,95x95,5,5
49,97x97,5,5
50,99x99,5,6
51,101x101,6,6
52,103x103,6,6
53,105x105,6,7
54,107x107,7,7
55,109x109,7,8
56,111x111,8,8
57,113x113,8,9
58,115x115,9,9
59,117x117,9,9
60,119x119,10,10
61,121x121,11,11
62,123x123,11,11
63,125x125,11,11
64,127x127,12,12
65,129x129,12,13
66,131x131,13,13
67,133x133,14,14
68,135x135,15,14
69,137x137,15,15
70,139x139,15,15
71,141x141,16,16
72,143x143,17,17
73,145x145,18,17
74,147x147,18,19
75,149x149,19,19
76,151x151,20,20
77,153x153,21,21
78,155x155,22,21
79,157x157,22,23
80,159x159,36,39
81,161x161,31,47
82,163x163,34,37
83,165x165,29,26
84,167x167,30,30
85,169x169,28,27
86,171x171,29,29
87,173x173,30,29
88,175x175,31,30
89,177x177,32,31
90,179x179,33,32
91,181x181,34,33
92,183x183,36,34
93,185x185,37,35
94,187x187,39,37
95,189x189,40,39
96,191x191,43,39
97,193x193,42,40
98,195x195,44,41
99,197x197,46,45
100,199x199,68,67
