Crossover point,Dimension,Brute Force (milisec),Strassen's (milisec)
300,1023x1023,6687,5668
301,1023x1023,6659,5709
302,1023x1023,6700,5605
303,1023x1023,6658,5602
304,1023x1023,6695,5655
305,1023x1023,6645,5587
306,1023x1023,6664,5643
307,1023x1023,6676,5689
308,1023x1023,6668,5684
309,1023x1023,6677,5705
310,1023x1023,6664,5746
311,1023x1023,6686,5667
312,1023x1023,6664,5733
313,1023x1023,6654,5732
314,1023x1023,6665,5723
315,1023x1023,6661,5724
316,1023x1023,6653,5743
317,1023x1023,6671,5712
318,1023x1023,6659,5734
319,1023x1023,6660,5732
320,1023x1023,6671,5721
321,1023x1023,6662,5627
322,1023x1023,6668,5700
323,1023x1023,6711,5736
324,1023x1023,6673,5673
325,1023x1023,6661,5675
326,1023x1023,6663,5715
327,1023x1023,6657,5741
328,1023x1023,6650,5711
329,1023x1023,6673,5747
330,1023x1023,6678,5709
331,1023x1023,6680,5662
332,1023x1023,284773,5717
333,1023x1023,6695,5715
334,1023x1023,6883,5935
335,1023x1023,7219,105359
336,1023x1023,7391,5670
337,1023x1023,6672,5738
338,1023x1023,6674,6043
339,1023x1023,6680,5648
340,1023x1023,6625,5630
341,1023x1023,6629,5611
342,1023x1023,6634,5593
343,1023x1023,6652,5564
344,1023x1023,6650,5646
345,1023x1023,6652,5659
346,1023x1023,6668,5663
347,1023x1023,6668,5695
348,1023x1023,6659,5658
349,1023x1023,6659,5728
