Crossover point,Dimension,Brute Force (milisec),Strassen's (milisec)
150,1024x1024,6630,4745
151,1024x1024,6534,4743
152,1024x1024,6558,4742
153,1024x1024,6584,4743
154,1024x1024,6538,4742
155,1024x1024,6532,4743
156,1024x1024,6527,4739
157,1024x1024,6530,4763
158,1024x1024,6541,4745
159,1024x1024,6553,4744
160,1024x1024,6533,4748
161,1024x1024,6545,4742
162,1024x1024,6548,4769
163,1024x1024,6592,4745
164,1024x1024,6545,4742
165,1024x1024,6536,4752
166,1024x1024,6544,4747
167,1024x1024,6531,4742
168,1024x1024,6523,4742
169,1024x1024,6535,4739
170,1024x1024,6528,4742
171,1024x1024,6535,4742
172,1024x1024,6527,4753
173,1024x1024,6603,4743
174,1024x1024,6683,4741
175,1024x1024,6610,4750
176,1024x1024,6531,4746
177,1024x1024,6522,4743
178,1024x1024,6535,4749
179,1024x1024,6521,4741
180,1024x1024,6530,4744
181,1024x1024,6540,4742
182,1024x1024,6528,4743
183,1024x1024,6519,4742
184,1024x1024,6537,4744
185,1024x1024,6577,4743
186,1024x1024,6581,4747
187,1024x1024,6534,4745
188,1024x1024,6547,4747
189,1024x1024,6523,4742
190,1024x1024,6523,4745
191,1024x1024,6576,4745
192,1024x1024,6530,4745
193,1024x1024,6554,4748
194,1024x1024,6598,4745
195,1024x1024,6546,4744
196,1024x1024,6561,4742
197,1024x1024,6534,4742
198,1024x1024,6540,4742
199,1024x1024,6548,4745
200,1024x1024,6530,4745
201,1024x1024,6548,4744
202,1024x1024,6633,4745
203,1024x1024,6589,4743
204,1024x1024,6523,4753
205,1024x1024,6600,4742
206,1024x1024,6613,4744
207,1024x1024,6552,4781
208,1024x1024,6585,4754
209,1024x1024,6565,4766
210,1024x1024,6562,4759
211,1024x1024,6607,5129
212,1024x1024,6876,4778
213,1024x1024,6599,4749
214,1024x1024,6593,4746
215,1024x1024,6569,4773
216,1024x1024,6526,4750
217,1024x1024,6525,4745
218,1024x1024,6548,4746
219,1024x1024,6525,4743
220,1024x1024,6536,4747
221,1024x1024,6538,4744
222,1024x1024,6517,4745
223,1024x1024,6533,4748
224,1024x1024,6528,4742
225,1024x1024,6518,4753
226,1024x1024,6536,4740
227,1024x1024,6519,4741
228,1024x1024,6542,4741
229,1024x1024,6566,4741
230,1024x1024,6561,4740
231,1024x1024,6540,4741
232,1024x1024,6556,4738
233,1024x1024,6604,4834
234,1024x1024,6684,4785
235,1024x1024,6573,4739
236,1024x1024,6525,4747
237,1024x1024,6522,4740
238,1024x1024,6523,4742
239,1024x1024,6508,4744
240,1024x1024,6524,4742
241,1024x1024,6574,4743
242,1024x1024,6519,4742
243,1024x1024,6537,4738
244,1024x1024,6540,4735
245,1024x1024,6496,4735
246,1024x1024,6504,5049
247,1024x1024,6625,4793
248,1024x1024,6642,4764
249,1024x1024,6606,4777
