Crossover point,Dimension,Brute Force (milisec),Strassen's (milisec)
5,1024x1024,6477,28287
5,1024x1024,6396,28289
5,1024x1024,6398,28267
5,1024x1024,6403,28298
5,1024x1024,6406,28270
6,1024x1024,6380,28317
6,1024x1024,6504,28271
6,1024x1024,6393,28383
6,1024x1024,6413,28407
6,1024x1024,6510,28819
7,1024x1024,6483,28704
7,1024x1024,6493,28754
7,1024x1024,6503,28739
7,1024x1024,6497,28832
7,1024x1024,6500,28673
8,1024x1024,6455,28484
8,1024x1024,6412,28349
8,1024x1024,6431,762669
8,1024x1024,6329,952009
8,1024x1024,6279,28020
9,1024x1024,6286,12050
9,1024x1024,6288,159839
9,1024x1024,6295,12043
9,1024x1024,6293,12068
9,1024x1024,6290,1043923
10,1024x1024,6289,12056
10,1024x1024,6292,237316
10,1024x1024,6319,12051
10,1024x1024,6292,12082
10,1024x1024,6291,139710
11,1024x1024,6320,12056
11,1024x1024,6340,12049
11,1024x1024,25225,12051
11,1024x1024,6328,12054
11,1024x1024,6318,25513
12,1024x1024,6481,12303
12,1024x1024,6510,12311
12,1024x1024,6394,12266
12,1024x1024,6473,12304
12,1024x1024,6484,12241
13,1024x1024,6447,12273
13,1024x1024,6577,12235
13,1024x1024,6457,12320
13,1024x1024,6483,12280
13,1024x1024,6543,12306
14,1024x1024,6557,12445
14,1024x1024,6522,12451
14,1024x1024,6558,12447
14,1024x1024,6536,13166
14,1024x1024,6603,12703
15,1024x1024,6590,12453
15,1024x1024,6571,12472
15,1024x1024,6570,12817
15,1024x1024,6636,12477
15,1024x1024,6565,12429
16,1024x1024,6555,12424
16,1024x1024,6582,12544
16,1024x1024,6584,12418
16,1024x1024,6554,12460
16,1024x1024,6759,12475
17,1024x1024,6738,7067
17,1024x1024,6649,6939
17,1024x1024,6548,6944
17,1024x1024,6519,6923
17,1024x1024,6521,7071
18,1024x1024,6724,7025
18,1024x1024,10851,6974
18,1024x1024,6618,6951
18,1024x1024,6597,6953
18,1024x1024,6598,6943
19,1024x1024,8054,6940
19,1024x1024,6530,6922
19,1024x1024,6534,6939
19,1024x1024,6709,6998
19,1024x1024,6705,7113
20,1024x1024,6633,6966
20,1024x1024,6617,6951
20,1024x1024,6611,6960
20,1024x1024,6611,6974
20,1024x1024,6606,6971
21,1024x1024,6613,6953
21,1024x1024,6606,6955
21,1024x1024,6611,6958
21,1024x1024,6608,6947
21,1024x1024,6742,6989
22,1024x1024,6673,6974
22,1024x1024,6587,7005
22,1024x1024,6653,6970
22,1024x1024,6620,6934
22,1024x1024,6552,6926
23,1024x1024,6520,6923
23,1024x1024,6519,6927
23,1024x1024,6509,6923
23,1024x1024,6508,6920
23,1024x1024,6523,6926
24,1024x1024,6510,6930
24,1024x1024,6515,6922
24,1024x1024,6516,6926
