Crossover point,Dimension,Brute Force (milisec),Strassen's (milisec)
16,1024x1024,6498,12246
16,1024x1024,6594,12196
16,1024x1024,6419,12130
16,1024x1024,6430,12177
16,1024x1024,6436,12133
17,1024x1024,6340,6728
17,1024x1024,6335,6717
17,1024x1024,6359,6719
17,1024x1024,6331,6727
17,1024x1024,6332,6714
18,1024x1024,6310,6718
18,1024x1024,6311,6723
18,1024x1024,6311,6728
18,1024x1024,6316,6720
18,1024x1024,6322,6714
19,1024x1024,6335,6717
19,1024x1024,6325,6716
19,1024x1024,6318,6721
19,1024x1024,6321,6716
19,1024x1024,6333,6716
20,1024x1024,6297,8324
20,1024x1024,8334,8998
20,1024x1024,8448,8911
20,1024x1024,8328,8920
20,1024x1024,8318,8864
21,1024x1024,8351,8928
21,1024x1024,8380,8892
21,1024x1024,8403,8878
21,1024x1024,8322,8840
21,1024x1024,8326,8842
22,1024x1024,8327,8852
22,1024x1024,8367,8841
22,1024x1024,8329,8854
22,1024x1024,8330,8841
22,1024x1024,8331,8840
23,1024x1024,8280,8840
23,1024x1024,8286,8863
23,1024x1024,8318,8886
23,1024x1024,8305,8994
23,1024x1024,8344,8943
24,1024x1024,8355,8889
24,1024x1024,8349,8852
24,1024x1024,8310,8877
24,1024x1024,8368,8912
24,1024x1024,8377,8883
25,1024x1024,8342,8909
25,1024x1024,8358,8910
25,1024x1024,8361,8869
25,1024x1024,8373,8914
25,1024x1024,8374,8917
26,1024x1024,8320,8891
26,1024x1024,8365,8871
26,1024x1024,8345,8878
26,1024x1024,8322,8913
26,1024x1024,8362,8922
27,1024x1024,8403,8852
27,1024x1024,8413,8917
27,1024x1024,8436,8881
27,1024x1024,8429,8912
27,1024x1024,8396,8891
28,1024x1024,8343,8910
28,1024x1024,8334,8862
28,1024x1024,8359,8920
28,1024x1024,8312,8902
28,1024x1024,8349,8910
29,1024x1024,8342,8899
29,1024x1024,8319,8905
29,1024x1024,8375,8871
29,1024x1024,8344,8903
29,1024x1024,8328,8879
30,1024x1024,8337,8865
30,1024x1024,8293,8848
30,1024x1024,8294,8849
30,1024x1024,8302,8843
30,1024x1024,8334,8923
31,1024x1024,8363,8911
31,1024x1024,8379,8882
31,1024x1024,8372,8905
31,1024x1024,8325,8861
31,1024x1024,8313,8854
32,1024x1024,8306,8861
32,1024x1024,8282,8861
32,1024x1024,8376,8877
32,1024x1024,8337,8866
32,1024x1024,8321,8931
33,1024x1024,8371,6622
33,1024x1024,8363,6582
33,1024x1024,8287,6620
33,1024x1024,8358,6623
33,1024x1024,8333,6645
34,1024x1024,8337,6636
34,1024x1024,8314,6580
34,1024x1024,8328,6636
34,1024x1024,8421,6630
34,1024x1024,8357,6610
35,1024x1024,8394,6600
35,1024x1024,8291,6581
35,1024x1024,8293,6584
35,1024x1024,8327,6586
35,1024x1024,8335,6635
36,1024x1024,8334,6619
36,1024x1024,8373,6629
36,1024x1024,8368,6628
36,1024x1024,8331,6623
36,1024x1024,8387,6622
37,1024x1024,8431,6622
37,1024x1024,8399,6622
37,1024x1024,8404,6616
37,1024x1024,8370,6598
37,1024x1024,8361,6579
38,1024x1024,8321,6612
38,1024x1024,8330,6582
38,1024x1024,8334,6583
38,1024x1024,8410,6580
38,1024x1024,8308,6583
39,1024x1024,8292,6577
39,1024x1024,8328,6655
39,1024x1024,8378,6617
39,1024x1024,8348,6619
39,1024x1024,8366,6630
40,1024x1024,8407,6603
40,1024x1024,8371,6594
40,1024x1024,8308,6618
40,1024x1024,8365,6627
40,1024x1024,8356,6599
41,1024x1024,8284,6575
41,1024x1024,8279,6580
41,1024x1024,8279,6577
41,1024x1024,8287,6579
41,1024x1024,8279,6580
42,1024x1024,8328,6583
42,1024x1024,8337,6586
42,1024x1024,8330,6594
42,1024x1024,8344,6583
42,1024x1024,8329,6601
43,1024x1024,8309,6627
43,1024x1024,8368,6659
43,1024x1024,8421,6689
43,1024x1024,8284,6578
43,1024x1024,8282,6578
44,1024x1024,8350,6578
44,1024x1024,8351,6581
44,1024x1024,8356,6578
44,1024x1024,8358,6576
44,1024x1024,8355,6575
45,1024x1024,8288,6582
45,1024x1024,8292,6579
45,1024x1024,8368,6680
45,1024x1024,8419,6663
45,1024x1024,8365,6651
46,1024x1024,8436,6681
46,1024x1024,8303,6590
46,1024x1024,8577,6712
46,1024x1024,8309,6575
46,1024x1024,8302,6574
47,1024x1024,8291,6574
47,1024x1024,8293,6575
47,1024x1024,8313,6656
47,1024x1024,8461,6672
47,1024x1024,8365,6622
48,1024x1024,8371,6630
48,1024x1024,8342,6633
48,1024x1024,8384,6655
48,1024x1024,8392,6624
48,1024x1024,8352,6597
49,1024x1024,8363,6636
49,1024x1024,8306,6577
49,1024x1024,8294,6580
49,1024x1024,8311,6607
49,1024x1024,8314,6579
50,1024x1024,8304,6583
50,1024x1024,8306,6572
50,1024x1024,8298,6572
50,1024x1024,8309,6608
50,1024x1024,8299,6588
51,1024x1024,8417,6637
51,1024x1024,8417,6641
51,1024x1024,8351,6577
51,1024x1024,8378,6630
51,1024x1024,8365,6574
52,1024x1024,8285,6578
52,1024x1024,8333,6647
52,1024x1024,8340,6619
52,1024x1024,8296,6578
52,1024x1024,8283,6587
53,1024x1024,8274,6617
53,1024x1024,8342,6642
53,1024x1024,8344,6652
53,1024x1024,8329,6597
53,1024x1024,8355,6625
54,1024x1024,8435,6626
54,1024x1024,8412,6656
54,1024x1024,8398,6585
54,1024x1024,8360,6570
54,1024x1024,8361,6591
55,1024x1024,8321,6579
55,1024x1024,8316,6650
55,1024x1024,8333,6602
55,1024x1024,8361,6634
55,1024x1024,8457,6681
56,1024x1024,8381,6614
56,1024x1024,8316,6637
56,1024x1024,8421,6581
56,1024x1024,8296,6578
56,1024x1024,8296,6580
57,1024x1024,8389,6632
57,1024x1024,8368,6635
57,1024x1024,8311,6574
57,1024x1024,8319,6575
57,1024x1024,8318,6574
58,1024x1024,8305,6575
58,1024x1024,8308,6575
58,1024x1024,8347,6577
58,1024x1024,8310,6576
58,1024x1024,8308,6573
59,1024x1024,8282,6576
59,1024x1024,8279,6576
59,1024x1024,8279,6579
59,1024x1024,8278,6572
59,1024x1024,8284,6590
60,1024x1024,8470,6631
60,1024x1024,8395,6582
60,1024x1024,8360,6765
60,1024x1024,8399,6625
60,1024x1024,8388,6593
61,1024x1024,8488,6631
61,1024x1024,8312,6597
61,1024x1024,8293,6686
61,1024x1024,8408,6628
61,1024x1024,8327,6610
62,1024x1024,8464,6633
62,1024x1024,8448,6663
62,1024x1024,8398,6642
62,1024x1024,8435,6661
62,1024x1024,8390,6633
63,1024x1024,8305,6587
63,1024x1024,8292,6604
63,1024x1024,8389,6676
63,1024x1024,8387,6669
63,1024x1024,8383,6604
