Crossover point,Dimension,Brute Force (milisec),Strassen's (milisec)
16,2x2,0,0
16,2x2,0,0
16,2x2,0,0
16,2x2,0,0
16,2x2,0,0
16,4x4,0,0
16,4x4,0,0
16,4x4,0,0
16,4x4,0,0
16,4x4,0,0
16,8x8,0,0
16,8x8,0,0
16,8x8,0,0
16,8x8,0,0
16,8x8,0,0
16,16x16,0,0
16,16x16,0,0
16,16x16,0,0
16,16x16,0,0
16,16x16,0,0
16,32x32,0,1
16,32x32,0,1
16,32x32,0,1
16,32x32,0,1
16,32x32,0,1
16,64x64,3,8
16,64x64,2,7
16,64x64,2,6
16,64x64,2,6
16,64x64,2,6
16,128x128,15,45
16,128x128,15,44
16,128x128,15,45
16,128x128,15,44
16,128x128,15,45
16,256x256,138,322
16,256x256,138,322
16,256x256,149,324
16,256x256,139,322
16,256x256,137,320
16,512x512,1066,2271
16,512x512,1066,2260
16,512x512,1061,2257
16,512x512,1064,2257
16,512x512,1068,2277
16,1024x1024,8410,15971
16,1024x1024,8327,15871
16,1024x1024,12370,1274948
16,1024x1024,95101,1096913
16,1024x1024,11314,397617
17,2x2,0,0
17,2x2,0,0
17,2x2,0,0
17,2x2,0,0
17,2x2,0,0
17,4x4,0,0
17,4x4,0,0
17,4x4,0,0
17,4x4,0,0
17,4x4,0,0
17,8x8,0,0
17,8x8,0,0
17,8x8,0,0
17,8x8,0,0
17,8x8,0,0
17,16x16,0,0
17,16x16,0,0
17,16x16,0,0
17,16x16,0,0
17,16x16,0,0
17,32x32,0,0
17,32x32,0,0
17,32x32,0,0
17,32x32,0,0
17,32x32,0,0
17,64x64,2,3
17,64x64,2,3
17,64x64,2,3
17,64x64,2,3
17,64x64,2,3
17,128x128,16,24
17,128x128,16,24
17,128x128,16,24
17,128x128,16,24
17,128x128,16,24
17,256x256,137,176
17,256x256,136,177
17,256x256,135,175
17,256x256,136,175
17,256x256,137,177
17,512x512,1063,691763
17,512x512,1068,1254
17,512x512,1061,1258
17,512x512,1063,54244
17,512x512,1147,1307
17,1024x1024,7053,7064
17,1024x1024,7352,6807
17,1024x1024,6415,6788
17,1024x1024,6443,6953
17,1024x1024,6536,6945
18,2x2,0,0
18,2x2,0,0
18,2x2,0,0
18,2x2,0,0
18,2x2,0,0
18,4x4,0,0
18,4x4,0,0
18,4x4,0,0
18,4x4,0,0
18,4x4,0,0
18,8x8,0,0
18,8x8,0,0
18,8x8,0,0
18,8x8,0,0
18,8x8,0,0
18,16x16,0,0
18,16x16,0,0
18,16x16,0,0
18,16x16,0,0
18,16x16,0,0
18,32x32,0,0
18,32x32,0,0
18,32x32,0,0
18,32x32,0,0
18,32x32,0,0
18,64x64,1,2
18,64x64,1,2
18,64x64,1,2
18,64x64,1,2
18,64x64,1,2
18,128x128,12,18
18,128x128,12,19
18,128x128,12,18
18,128x128,12,18
18,128x128,12,18
18,256x256,103,133
18,256x256,102,133
18,256x256,105,135
18,256x256,103,135
18,256x256,103,134
18,512x512,815,957
18,512x512,811,971
18,512x512,860,982
18,512x512,820,968
18,512x512,839,967
18,1024x1024,6412,6796
18,1024x1024,6345,6775
18,1024x1024,6396,6791
18,1024x1024,6314,6775
18,1024x1024,6413,7092
19,2x2,0,0
19,2x2,0,0
19,2x2,0,0
19,2x2,0,0
19,2x2,0,0
19,4x4,0,0
19,4x4,0,0
19,4x4,0,0
19,4x4,0,0
19,4x4,0,0
19,8x8,0,0
19,8x8,0,0
19,8x8,0,0
19,8x8,0,0
19,8x8,0,0
19,16x16,0,0
19,16x16,0,0
19,16x16,0,0
19,16x16,0,0
19,16x16,0,0
19,32x32,0,0
19,32x32,0,0
19,32x32,0,0
19,32x32,0,0
19,32x32,0,0
19,64x64,1,2
19,64x64,1,2
19,64x64,1,2
19,64x64,1,2
19,64x64,1,2
19,128x128,12,18
19,128x128,12,18
19,128x128,12,19
19,128x128,12,19
19,128x128,12,18
19,256x256,106,135
19,256x256,105,135
19,256x256,104,134
19,256x256,105,134
19,256x256,105,134
19,512x512,820,962
19,512x512,819,968
19,512x512,818,964
19,512x512,814,971
19,512x512,839,990
19,1024x1024,6418,6994
19,1024x1024,6594,6822
19,1024x1024,6421,6806
19,1024x1024,6339,6744
19,1024x1024,6330,6838
20,2x2,0,0
20,2x2,0,0
20,2x2,0,0
20,2x2,0,0
20,2x2,0,0
20,4x4,0,0
20,4x4,0,0
20,4x4,0,0
20,4x4,0,0
20,4x4,0,0
20,8x8,0,0
20,8x8,0,0
20,8x8,0,0
20,8x8,0,0
20,8x8,0,0
20,16x16,0,0
20,16x16,0,0
20,16x16,0,0
20,16x16,0,0
20,16x16,0,0
20,32x32,0,0
20,32x32,0,0
20,32x32,0,0
20,32x32,0,0
20,32x32,0,0
20,64x64,1,2
20,64x64,1,2
20,64x64,1,2
20,64x64,1,2
20,64x64,1,2
20,128x128,12,18
20,128x128,12,18
20,128x128,12,18
20,128x128,12,18
20,128x128,12,18
20,256x256,104,135
20,256x256,103,133
20,256x256,103,133
20,256x256,103,134
20,256x256,103,137
20,512x512,814,958
20,512x512,806,963
20,512x512,824,1000
20,512x512,815,971
20,512x512,854,975
20,1024x1024,6455,6776
20,1024x1024,6426,6815
20,1024x1024,6464,6791
20,1024x1024,6531,6834
20,1024x1024,6550,6875
21,2x2,0,0
21,2x2,0,0
21,2x2,0,0
21,2x2,0,0
21,2x2,0,0
21,4x4,0,0
21,4x4,0,0
21,4x4,0,0
21,4x4,0,0
21,4x4,0,0
21,8x8,0,0
21,8x8,0,0
21,8x8,0,0
21,8x8,0,0
21,8x8,0,0
21,16x16,0,0
21,16x16,0,0
21,16x16,0,0
21,16x16,0,0
21,16x16,0,0
21,32x32,0,0
21,32x32,0,0
21,32x32,0,0
21,32x32,0,0
21,32x32,0,0
21,64x64,1,2
21,64x64,1,2
21,64x64,1,2
21,64x64,1,2
21,64x64,1,2
21,128x128,12,18
21,128x128,12,18
21,128x128,12,18
21,128x128,12,18
21,128x128,12,18
21,256x256,105,134
21,256x256,105,139
21,256x256,108,166
21,256x256,107,135
21,256x256,106,163
21,512x512,832,976
21,512x512,806,964
21,512x512,797,960
21,512x512,796,973
21,512x512,798,955
21,1024x1024,6414,6758
21,1024x1024,6430,6768
21,1024x1024,6422,6793
21,1024x1024,6395,6802
21,1024x1024,6426,6729
22,2x2,0,0
22,2x2,0,0
22,2x2,0,0
22,2x2,0,0
22,2x2,0,0
22,4x4,0,0
22,4x4,0,0
22,4x4,0,0
22,4x4,0,0
22,4x4,0,0
22,8x8,0,0
22,8x8,0,0
22,8x8,0,0
22,8x8,0,0
22,8x8,0,0
22,16x16,0,0
22,16x16,0,0
22,16x16,0,0
22,16x16,0,0
22,16x16,0,0
22,32x32,0,0
22,32x32,0,0
22,32x32,0,0
22,32x32,0,0
22,32x32,0,0
22,64x64,1,2
22,64x64,1,2
22,64x64,1,2
22,64x64,1,2
22,64x64,1,2
22,128x128,12,18
22,128x128,12,18
22,128x128,12,18
22,128x128,12,18
22,128x128,12,18
22,256x256,103,133
22,256x256,103,134
22,256x256,103,132
22,256x256,104,141
22,256x256,103,137
22,512x512,814,956
22,512x512,816,963
22,512x512,816,968
22,512x512,818,985
22,512x512,839,969
22,1024x1024,6381,7014
22,1024x1024,6728,6907
22,1024x1024,6495,6846
22,1024x1024,6547,6963
22,1024x1024,6422,6831
23,2x2,0,0
23,2x2,0,0
23,2x2,0,0
23,2x2,0,0
23,2x2,0,0
23,4x4,0,0
23,4x4,0,0
23,4x4,0,0
23,4x4,0,0
23,4x4,0,0
23,8x8,0,0
23,8x8,0,0
23,8x8,0,0
23,8x8,0,0
23,8x8,0,0
23,16x16,0,0
23,16x16,0,0
23,16x16,0,0
23,16x16,0,0
23,16x16,0,0
23,32x32,0,0
23,32x32,0,0
23,32x32,0,0
23,32x32,0,0
23,32x32,0,0
23,64x64,1,2
23,64x64,1,2
23,64x64,1,2
23,64x64,1,2
23,64x64,1,2
23,128x128,12,18
23,128x128,12,18
23,128x128,12,18
23,128x128,12,18
23,128x128,12,18
23,256x256,105,135
23,256x256,104,135
23,256x256,105,135
23,256x256,104,134
23,256x256,104,134
23,512x512,822,965
23,512x512,824,964
23,512x512,825,962
23,512x512,823,962
23,512x512,825,965
23,1024x1024,6411,6839
23,1024x1024,6422,6838
23,1024x1024,6522,6860
23,1024x1024,6427,6831
23,1024x1024,6403,6881
24,2x2,0,0
24,2x2,0,0
24,2x2,0,0
24,2x2,0,0
24,2x2,0,0
24,4x4,0,0
24,4x4,0,0
24,4x4,0,0
24,4x4,0,0
24,4x4,0,0
24,8x8,0,0
24,8x8,0,0
24,8x8,0,0
24,8x8,0,0
24,8x8,0,0
24,16x16,0,0
24,16x16,0,0
24,16x16,0,0
24,16x16,0,0
24,16x16,0,0
24,32x32,0,0
24,32x32,0,0
24,32x32,0,0
24,32x32,0,0
24,32x32,0,0
24,64x64,1,2
24,64x64,1,2
24,64x64,1,2
24,64x64,1,2
24,64x64,1,2
24,128x128,12,18
24,128x128,12,18
24,128x128,12,18
24,128x128,12,18
24,128x128,12,18
24,256x256,105,135
24,256x256,105,134
24,256x256,104,135
24,256x256,105,136
24,256x256,105,135
24,512x512,843,969
24,512x512,845,967
24,512x512,848,966
24,512x512,846,970
24,512x512,847,969
24,1024x1024,6378,6857
24,1024x1024,6425,6838
24,1024x1024,6386,6800
24,1024x1024,6399,6862
24,1024x1024,6507,6869
25,2x2,0,0
25,2x2,0,0
25,2x2,0,0
25,2x2,0,0
25,2x2,0,0
25,4x4,0,0
25,4x4,0,0
25,4x4,0,0
25,4x4,0,0
25,4x4,0,0
25,8x8,0,0
25,8x8,0,0
25,8x8,0,0
25,8x8,0,0
25,8x8,0,0
25,16x16,0,0
25,16x16,0,0
25,16x16,0,0
25,16x16,0,0
25,16x16,0,0
25,32x32,0,0
25,32x32,0,0
25,32x32,0,0
25,32x32,0,0
25,32x32,0,0
25,64x64,1,2
25,64x64,1,2
25,64x64,1,2
25,64x64,1,2
25,64x64,1,2
25,128x128,12,18
25,128x128,12,18
25,128x128,12,18
25,128x128,12,18
25,128x128,12,18
25,256x256,105,136
25,256x256,106,135
25,256x256,105,135
25,256x256,106,135
25,256x256,105,135
25,512x512,817,967
25,512x512,819,965
25,512x512,822,967
25,512x512,819,964
25,512x512,818,966
25,1024x1024,6531,6997
25,1024x1024,6736,6964
25,1024x1024,6655,6924
25,1024x1024,6620,6960
25,1024x1024,6565,6970
26,2x2,0,0
26,2x2,0,0
26,2x2,0,0
26,2x2,0,0
26,2x2,0,0
26,4x4,0,0
26,4x4,0,0
26,4x4,0,0
26,4x4,0,0
26,4x4,0,0
26,8x8,0,0
26,8x8,0,0
26,8x8,0,0
26,8x8,0,0
26,8x8,0,0
26,16x16,0,0
26,16x16,0,0
26,16x16,0,0
26,16x16,0,0
26,16x16,0,0
26,32x32,0,0
26,32x32,0,0
26,32x32,0,0
26,32x32,0,0
26,32x32,0,0
26,64x64,1,2
26,64x64,1,2
26,64x64,1,2
26,64x64,1,2
26,64x64,1,2
26,128x128,12,18
26,128x128,12,19
26,128x128,12,19
26,128x128,12,19
26,128x128,12,19
26,256x256,107,138
26,256x256,132,142
26,256x256,109,139
26,256x256,109,173
26,256x256,110,139
26,512x512,818,1024
26,512x512,851,1024
26,512x512,834,990
26,512x512,827,1017
26,512x512,815,983
26,1024x1024,6522,6899
26,1024x1024,6480,6932
26,1024x1024,6621,6913
26,1024x1024,6589,6939
26,1024x1024,6598,6935
27,2x2,0,0
27,2x2,0,0
27,2x2,0,0
27,2x2,0,0
27,2x2,0,0
27,4x4,0,0
27,4x4,0,0
27,4x4,0,0
27,4x4,0,0
27,4x4,0,0
27,8x8,0,0
27,8x8,0,0
27,8x8,0,0
27,8x8,0,0
27,8x8,0,0
27,16x16,0,0
27,16x16,0,0
27,16x16,0,0
27,16x16,0,0
27,16x16,0,0
27,32x32,0,0
27,32x32,0,0
27,32x32,0,0
27,32x32,0,0
27,32x32,0,0
27,64x64,1,2
27,64x64,1,2
27,64x64,1,2
27,64x64,1,2
27,64x64,1,2
27,128x128,12,18
27,128x128,12,18
27,128x128,12,18
27,128x128,12,18
27,128x128,12,18
27,256x256,104,135
27,256x256,104,136
27,256x256,105,137
27,256x256,105,135
27,256x256,106,136
27,512x512,828,974
27,512x512,830,969
27,512x512,831,976
27,512x512,836,972
27,512x512,831,971
27,1024x1024,6476,6903
27,1024x1024,6491,6798
27,1024x1024,6488,6837
27,1024x1024,6433,6771
27,1024x1024,6391,6782
28,2x2,0,0
28,2x2,0,0
28,2x2,0,0
28,2x2,0,0
28,2x2,0,0
28,4x4,0,0
28,4x4,0,0
28,4x4,0,0
28,4x4,0,0
28,4x4,0,0
28,8x8,0,0
28,8x8,0,0
28,8x8,0,0
28,8x8,0,0
28,8x8,0,0
28,16x16,0,0
28,16x16,0,0
28,16x16,0,0
28,16x16,0,0
28,16x16,0,0
28,32x32,0,0
28,32x32,0,0
28,32x32,0,0
28,32x32,0,0
28,32x32,0,0
28,64x64,1,2
28,64x64,1,2
28,64x64,1,2
28,64x64,1,2
28,64x64,1,2
28,128x128,12,18
28,128x128,12,19
28,128x128,13,18
28,128x128,12,19
28,128x128,12,18
28,256x256,106,137
28,256x256,106,138
28,256x256,105,134
28,256x256,105,135
28,256x256,105,135
28,512x512,833,963
28,512x512,837,969
28,512x512,829,958
28,512x512,823,962
28,512x512,823,967
28,1024x1024,6809,7046
28,1024x1024,6588,6927
28,1024x1024,6586,6939
28,1024x1024,6644,6906
28,1024x1024,6614,7106
29,2x2,0,0
29,2x2,0,0
29,2x2,0,0
29,2x2,0,0
29,2x2,0,0
29,4x4,0,0
29,4x4,0,0
29,4x4,0,0
29,4x4,0,0
29,4x4,0,0
29,8x8,0,0
29,8x8,0,0
29,8x8,0,0
29,8x8,0,0
29,8x8,0,0
29,16x16,0,0
29,16x16,0,0
29,16x16,0,0
29,16x16,0,0
29,16x16,0,0
29,32x32,0,0
29,32x32,0,0
29,32x32,0,0
29,32x32,0,0
29,32x32,0,0
29,64x64,1,2
29,64x64,1,2
29,64x64,1,2
29,64x64,1,2
29,64x64,1,2
29,128x128,12,19
29,128x128,12,19
29,128x128,12,19
29,128x128,12,18
29,128x128,12,19
29,256x256,107,139
29,256x256,108,138
29,256x256,107,140
29,256x256,107,137
29,256x256,106,142
29,512x512,875,1008
29,512x512,844,986
29,512x512,841,987
29,512x512,841,989
29,512x512,931,987
29,1024x1024,6531,6830
29,1024x1024,6462,6805
29,1024x1024,6467,6772
29,1024x1024,6579,6797
29,1024x1024,6434,6750
30,2x2,0,0
30,2x2,0,0
30,2x2,0,0
30,2x2,0,0
30,2x2,0,0
30,4x4,0,0
30,4x4,0,0
30,4x4,0,0
30,4x4,0,0
30,4x4,0,0
30,8x8,0,0
30,8x8,0,0
30,8x8,0,0
30,8x8,0,0
30,8x8,0,0
30,16x16,0,0
30,16x16,0,0
30,16x16,0,0
30,16x16,0,0
30,16x16,0,0
30,32x32,0,0
30,32x32,0,0
30,32x32,0,0
30,32x32,0,0
30,32x32,0,0
30,64x64,1,2
30,64x64,1,2
30,64x64,1,2
30,64x64,1,2
30,64x64,1,2
30,128x128,12,18
30,128x128,12,18
30,128x128,12,18
30,128x128,12,18
30,128x128,12,18
30,256x256,103,133
30,256x256,104,136
30,256x256,103,133
30,256x256,103,133
30,256x256,105,133
30,512x512,842,956
30,512x512,848,957
30,512x512,845,953
30,512x512,846,960
30,512x512,846,955
30,1024x1024,6384,6796
30,1024x1024,6398,6745
30,1024x1024,6368,6742
30,1024x1024,6355,6741
30,1024x1024,6356,6875
31,2x2,0,0
31,2x2,0,0
31,2x2,0,0
31,2x2,0,0
31,2x2,0,0
31,4x4,0,0
31,4x4,0,0
31,4x4,0,0
31,4x4,0,0
31,4x4,0,0
31,8x8,0,0
31,8x8,0,0
31,8x8,0,0
31,8x8,0,0
31,8x8,0,0
31,16x16,0,0
31,16x16,0,0
31,16x16,0,0
31,16x16,0,0
31,16x16,0,0
31,32x32,0,0
31,32x32,0,0
31,32x32,0,0
31,32x32,0,0
31,32x32,0,0
31,64x64,1,2
31,64x64,1,2
31,64x64,1,2
31,64x64,1,2
31,64x64,1,2
31,128x128,12,28
31,128x128,16,21
31,128x128,20,20
31,128x128,12,19
31,128x128,12,19
31,256x256,107,135
31,256x256,103,135
31,256x256,106,137
31,256x256,105,136
31,256x256,107,136
31,512x512,806,966
31,512x512,794,963
31,512x512,793,973
31,512x512,816,1012
31,512x512,810,955
31,1024x1024,6455,6764
31,1024x1024,6366,6778
31,1024x1024,6373,6774
31,1024x1024,6386,6824
31,1024x1024,6645,6933
32,2x2,0,0
32,2x2,0,0
32,2x2,0,0
32,2x2,0,0
32,2x2,0,0
32,4x4,0,0
32,4x4,0,0
32,4x4,0,0
32,4x4,0,0
32,4x4,0,0
32,8x8,0,0
32,8x8,0,0
32,8x8,0,0
32,8x8,0,0
32,8x8,0,0
32,16x16,0,0
32,16x16,0,0
32,16x16,0,0
32,16x16,0,0
32,16x16,0,0
32,32x32,0,0
32,32x32,0,0
32,32x32,0,0
32,32x32,0,0
32,32x32,0,0
32,64x64,1,2
32,64x64,1,2
32,64x64,1,2
32,64x64,1,2
32,64x64,1,2
32,128x128,12,18
32,128x128,12,18
32,128x128,12,18
32,128x128,12,18
32,128x128,12,18
32,256x256,107,136
32,256x256,118,137
32,256x256,106,136
32,256x256,107,137
32,256x256,105,135
32,512x512,833,967
32,512x512,832,961
32,512x512,822,971
32,512x512,839,974
32,512x512,825,968
32,1024x1024,6522,6915
32,1024x1024,6524,6800
32,1024x1024,6391,6750
32,1024x1024,6397,6746
32,1024x1024,6355,6740
33,2x2,0,0
33,2x2,0,0
33,2x2,0,0
33,2x2,0,0
33,2x2,0,0
33,4x4,0,0
33,4x4,0,0
33,4x4,0,0
33,4x4,0,0
33,4x4,0,0
33,8x8,0,0
33,8x8,0,0
33,8x8,0,0
33,8x8,0,0
33,8x8,0,0
33,16x16,0,0
33,16x16,0,0
33,16x16,0,0
33,16x16,0,0
33,16x16,0,0
33,32x32,0,0
33,32x32,0,0
33,32x32,0,0
33,32x32,0,0
33,32x32,0,0
33,64x64,1,1
33,64x64,1,1
33,64x64,1,1
33,64x64,1,1
33,64x64,1,1
33,128x128,12,13
33,128x128,12,13
33,128x128,12,13
33,128x128,12,13
33,128x128,12,13
33,256x256,104,98
33,256x256,104,98
33,256x256,105,99
33,256x256,104,98
33,256x256,104,98
33,512x512,818,706
33,512x512,818,707
33,512x512,814,708
33,512x512,817,707
33,512x512,816,706
33,1024x1024,6316,5029
33,1024x1024,6325,5015
33,1024x1024,6327,5014
33,1024x1024,6314,5021
33,1024x1024,6308,5016
34,2x2,0,0
34,2x2,0,0
34,2x2,0,0
34,2x2,0,0
34,2x2,0,0
34,4x4,0,0
34,4x4,0,0
34,4x4,0,0
34,4x4,0,0
34,4x4,0,0
34,8x8,0,0
34,8x8,0,0
34,8x8,0,0
34,8x8,0,0
34,8x8,0,0
34,16x16,0,0
34,16x16,0,0
34,16x16,0,0
34,16x16,0,0
34,16x16,0,0
34,32x32,0,0
34,32x32,0,0
34,32x32,0,0
34,32x32,0,0
34,32x32,0,0
34,64x64,1,1
34,64x64,1,1
34,64x64,1,1
34,64x64,1,1
34,64x64,1,1
34,128x128,12,13
34,128x128,12,13
34,128x128,12,13
34,128x128,12,13
34,128x128,12,13
34,256x256,104,98
34,256x256,104,98
34,256x256,104,98
34,256x256,104,98
34,256x256,104,98
34,512x512,815,705
34,512x512,813,710
34,512x512,814,706
34,512x512,813,706
34,512x512,813,706
34,1024x1024,6341,5025
34,1024x1024,6314,5014
34,1024x1024,6306,5017
34,1024x1024,6306,5024
34,1024x1024,6313,5016
35,2x2,0,0
35,2x2,0,0
35,2x2,0,0
35,2x2,0,0
35,2x2,0,0
35,4x4,0,0
35,4x4,0,0
35,4x4,0,0
35,4x4,0,0
35,4x4,0,0
35,8x8,0,0
35,8x8,0,0
35,8x8,0,0
35,8x8,0,0
35,8x8,0,0
35,16x16,0,0
35,16x16,0,0
35,16x16,0,0
35,16x16,0,0
35,16x16,0,0
35,32x32,0,0
35,32x32,0,0
35,32x32,0,0
35,32x32,0,0
35,32x32,0,0
35,64x64,1,1
35,64x64,1,1
35,64x64,1,1
35,64x64,1,1
35,64x64,1,1
35,128x128,12,13
35,128x128,12,13
35,128x128,12,13
35,128x128,12,13
35,128x128,12,13
35,256x256,103,98
35,256x256,103,98
35,256x256,103,98
35,256x256,103,98
35,256x256,103,98
35,512x512,806,706
35,512x512,808,706
35,512x512,807,706
35,512x512,807,707
35,512x512,809,706
35,1024x1024,6365,5035
35,1024x1024,6386,5017
35,1024x1024,6377,5013
35,1024x1024,6365,5014
35,1024x1024,6376,5017
36,2x2,0,0
